timestamp,net_value,gross_value
2026-02-22 17:37:57,205.38,178.61
2026-02-22 17:50:37,326.12,283.62
2026-02-22 18:14:09,325.5,283.08
2026-02-22 18:18:14,382.36,332.49
2026-02-22 18:26:02,0,0
2026-02-22 18:29:22,1998.11,1737.48
